player_id,player_name,nationality,position_group,club_2024_25,league_2024_25,club_season_start,mid_season_tranfers,club_2025_26,league_2025_26,transferred,moved_up,ig_followers,engagement_rate,google_trends,appearances,minutes,goals,assists,G_plus_A,goals_p90,assists_p90,shots_pg,dribbles,fouled,offsides,dispossessed,key_passes,passes_pg,pass_pct,crosses,long_balls,tackles,interceptions,fouls,clearances,blocks,Whoscored_Rating,gk_goals_against,gk_save_pct,gk_clean_sheets,team_league_position,ucl_stage,ucl_stage_ord,club_ig_followers,club_ig_followers_2024_25,club_ig_followers_2025_26,in_ballondor,consensus_count
P047,Alessandro Bastoni,Italy,Defender,Inter Milan,Serie A,Inter Milan,0,Inter Milan,Serie A,0,0,1530882.0,12.14,1.06,33.0,2422.0,1.0,5.0,6.0,0.037,0.186,0.4,0.2,1.2,0.0,0.2,0.8,61.6,90.5,0.8,4.2,1.4,0.7,1.3,1.4,0.4,6.88,,,,2,Final,6,14504939,14504939,14504939,False,3
P048,David Raya,Spain,Goalkeeper,Arsenal,Premier League,Arsenal,0,Arsenal,Premier League,0,0,1903244.0,14.59,1.14,38.0,3420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,32.4,70.6,0.0,4.5,0.0,0.1,0.0,0.8,0.0,6.73,34.0,71.7,13.0,2,Semi Final,5,32288446,32288446,32288446,False,3
P049,Jules Koundé,France,Defender,Barcelona,La Liga,Barcelona,0,Barcelona,La Liga,0,0,5977453.0,5.63,2.32,32.0,2606.0,2.0,3.0,5.0,0.069,0.104,0.6,0.7,0.6,0.2,0.4,1.0,56.4,88.6,0.3,1.7,2.0,0.6,0.7,1.8,0.2,6.89,,,,1,Semi Final,5,145936297,145936297,145936297,False,3
P050,Nicolò Barella,Italy,Midfielder,Inter Milan,Serie A,Inter Milan,0,Inter Milan,Serie A,0,0,1364560.0,21.69,1.21,33.0,2467.0,3.0,6.0,9.0,0.109,0.219,1.3,0.7,1.0,0.1,1.3,1.7,52.0,85.1,0.5,2.8,1.5,0.4,0.8,0.5,0.1,6.95,,,,2,Final,6,14504939,14504939,14504939,False,3
P051,Bradley Barcola,France,Forward,Paris Saint-Germain,Ligue 1,Paris Saint-Germain,0,Paris Saint-Germain,Ligue 1,0,0,1650758.0,14.75,2.11,34.0,2194.0,14.0,10.0,24.0,0.574,0.41,2.2,1.0,0.6,0.2,0.6,1.5,25.8,83.4,0.2,0.3,0.8,0.6,0.9,0.3,0.1,7.25,,,,1,Winner,7,66864756,66864756,66864756,False,3
P052,Trent Alexander-Arnold,England,Defender,Liverpool,Premier League,Liverpool,0,Real Madrid,La Liga,1,1,16657873.0,7.61,7.03,33.0,2378.0,3.0,6.0,9.0,0.114,0.227,1.4,0.5,0.3,0.0,0.5,1.6,49.0,77.7,1.2,3.8,2.2,0.9,0.3,1.5,0.3,7.06,,,,1,Round of 16,3,48467485,48467485,179140683,False,3
P053,Bruno Guimarães,Brazil,Midfielder,Newcastle,Premier League,Newcastle,0,Newcastle,Premier League,0,0,3611599.0,11.7,0.8,38.0,3286.0,5.0,6.0,11.0,0.137,0.164,1.2,0.9,2.8,0.1,2.0,1.4,46.3,83.7,0.2,2.3,2.2,0.8,1.7,1.1,0.3,6.98,,,,5,Not Qualified,0,3712647,3712647,3712647,False,3
P054,Nico Williams,Spain,Forward,Athletic Club,La Liga,Athletic Club,0,Athletic Club,La Liga,0,0,5473490.0,,7.48,29.0,2001.0,5.0,5.0,10.0,0.225,0.225,1.9,2.3,1.2,0.3,1.6,1.4,20.0,79.2,0.9,0.5,1.0,0.2,0.6,0.1,0.0,6.98,,,,4,Not Qualified,0,1665900,1665900,1665900,False,3
P055,Yann Sommer,Switzerland,Goalkeeper,Inter Milan,Serie A,Inter Milan,0,Inter Milan,Serie A,0,0,1969824.0,2.8,1.84,33.0,2970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,86.7,0.0,4.8,0.0,0.0,0.0,0.7,0.0,6.77,32.0,72.4,13.0,2,Final,6,14504939,14504939,14504939,False,3
P056,Eberechi Eze,England,Midfielder,Crystal Palace,Premier League,Crystal Palace,0,Arsenal,Premier League,1,1,3174674.0,8.29,1.42,34.0,2604.0,8.0,8.0,16.0,0.276,0.276,3.0,1.8,1.8,0.8,1.0,1.7,26.9,81.5,0.9,1.1,1.1,0.3,0.4,0.2,0.0,7.09,,,,12,Not Qualified,0,2336502,2336502,32288446,False,3
P057,Bryan Mbeumo,Cameroon,Forward,Brentford,Premier League,Brentford,0,Manchester United,Premier League,1,1,2331363.0,16.74,3.01,38.0,3417.0,20.0,7.0,27.0,0.527,0.184,2.2,1.4,1.2,0.3,1.2,1.8,28.7,73.9,1.3,0.8,1.3,0.4,0.7,1.3,0.1,7.33,,,,10,Not Qualified,0,895081,895081,65809385,False,3
P058,Victor Osimhen,Nigeria,Forward,Galatasaray,Super Lig,Galatasaray,0,Galatasaray,Super Lig,0,0,7743761.0,12.48,13.71,29.0,2296.0,26.0,5.0,31.0,1.019,0.196,4.7,0.8,1.7,1.4,1.2,1.1,11.8,66.9,0.2,0.2,0.2,0.3,1.0,0.8,0.0,7.77,,,,1,Not Qualified,0,18044149,18044149,18044149,False,3
P059,Pau Cubarsí,Spain,Defender,Barcelona,La Liga,Barcelona,0,Barcelona,La Liga,0,0,6050230.0,8.22,3.21,35.0,2621.0,0.0,3.0,3.0,0.0,0.103,0.2,0.2,0.3,0.0,0.0,0.3,74.0,93.6,0.0,2.7,1.0,0.5,0.7,2.5,0.3,6.73,,,,1,Semi Final,5,145936297,145936297,145936297,False,3
P060,Federico Dimarco,Italy,Defender,Inter Milan,Serie A,Inter Milan,0,Inter Milan,Serie A,0,0,1423934.0,11.26,1.16,33.0,2163.0,4.0,7.0,11.0,0.166,0.291,1.7,0.1,0.3,0.2,0.3,1.5,30.2,84.1,1.7,1.1,0.8,0.4,0.6,0.7,0.1,6.91,,,,2,Final,6,14504939,14504939,14504939,False,3
P061,Rafael Leão,Portugal,Forward,AC Milan,Serie A,AC Milan,0,AC Milan,Serie A,0,0,1626899.0,21.77,3.23,34.0,2332.0,8.0,8.0,16.0,0.309,0.309,1.9,1.7,1.5,0.2,1.1,1.7,22.7,77.0,0.5,0.7,0.5,0.2,0.6,0.1,0.0,7.21,,,,8,Knockout phase play-offs,2,18130469,18130469,18130469,False,3
P062,Moisés Caicedo,Ecuador,Midfielder,Chelsea,Premier League,Chelsea,0,Chelsea,Premier League,0,0,3228163.0,3.73,1.37,38.0,3356.0,1.0,2.0,3.0,0.027,0.054,0.5,0.8,1.5,0.0,0.7,0.8,56.7,90.2,0.1,2.5,3.0,1.3,1.8,1.4,0.3,7.02,,,,4,Not Qualified,0,43976708,43976708,43976708,False,2
