player_name,trends_link
Antony,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CAntony
Marcus Rashford,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMarcus%20Rashford
Mohammed Kudus,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMohammed%20Kudus
Matz Sels,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMatz%20Sels
Unai Simón,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CUnai%20Sim%C3%B3n
Jeremie Frimpong,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CJeremie%20Frimpong
Murillo,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMurillo
Ibrahima Konaté,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CIbrahima%20Konat%C3%A9
Rodrigo De Paul,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CRodrigo%20De%20Paul
Thiago Almada,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CThiago%20Almada
Oihan Sancet,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2COihan%20Sancet
Isco,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CIsco
Morgan Gibbs-White,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMorgan%20Gibbs-White
Xavi Simons,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CXavi%20Simons
Giuliano Simeone,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CGiuliano%20Simeone
Christian Pulisic,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CChristian%20Pulisic
Cody Gakpo,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CCody%20Gakpo
Ademola Lookman,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CAdemola%20Lookman
Benjamin Šeško,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CBenjamin%20%C5%A0e%C5%A1ko
Kai Havertz,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CKai%20Havertz
Jonathan David,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CJonathan%20David
Chris Wood,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CChris%20Wood
Matheus Cunha,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMatheus%20Cunha
Omar Marmoush,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2COmar%20Marmoush
Mateo Retegui,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMateo%20Retegui
