player_name,month,trends_rel
Bernardo Silva,2025-05,0.0334
Bernardo Silva,2025-06,0.0934
Bernardo Silva,2025-07,0.0222
Bruno Fernandes,2024-07,0.0445
Bruno Fernandes,2024-08,0.0611
Bruno Fernandes,2024-09,0.0934
Bruno Fernandes,2024-10,0.0667
Bruno Fernandes,2024-11,0.0611
Bruno Fernandes,2024-12,0.08
Bruno Fernandes,2025-01,0.0723
Bruno Fernandes,2025-02,0.0556
Bruno Fernandes,2025-03,0.1112
Bruno Fernandes,2025-04,0.0945
Bruno Fernandes,2025-05,0.1612
Bruno Fernandes,2025-06,0.1201
Bruno Fernandes,2025-07,0.0445
Bruno Guimarães,2024-07,0.0222
Bruno Guimarães,2024-08,0.0222
Bruno Guimarães,2024-09,0.02
Bruno Guimarães,2024-10,0.0195
Bruno Guimarães,2024-11,0.0167
Bruno Guimarães,2024-12,0.0222
Bruno Guimarães,2025-01,0.0195
Bruno Guimarães,2025-02,0.0167
Bruno Guimarães,2025-03,0.0289
Bruno Guimarães,2025-04,0.0139
Bruno Guimarães,2025-05,0.0195
Bruno Guimarães,2025-06,0.0156
Bruno Guimarães,2025-07,0.0111
Moisés Caicedo,2024-07,0.0222
Moisés Caicedo,2024-08,0.0222
Moisés Caicedo,2024-09,0.0222
Moisés Caicedo,2024-10,0.0222
Moisés Caicedo,2024-11,0.0389
Moisés Caicedo,2024-12,0.0311
Moisés Caicedo,2025-01,0.0222
Moisés Caicedo,2025-02,0.0222
Moisés Caicedo,2025-03,0.0222
Moisés Caicedo,2025-04,0.0222
Moisés Caicedo,2025-05,0.0445
Moisés Caicedo,2025-06,0.0489
Moisés Caicedo,2025-07,0.1334
Riccardo Calafiori,2024-07,0.3114
Riccardo Calafiori,2024-08,0.0778
Riccardo Calafiori,2024-09,0.0979
Riccardo Calafiori,2024-10,0.0723
Riccardo Calafiori,2024-11,0.0222
Riccardo Calafiori,2024-12,0.0267
Riccardo Calafiori,2025-01,0.0222
Riccardo Calafiori,2025-02,0.0222
Riccardo Calafiori,2025-03,0.0356
Riccardo Calafiori,2025-04,0.0334
Riccardo Calafiori,2025-05,0.0334
Riccardo Calafiori,2025-06,0.0222
Riccardo Calafiori,2025-07,0.0222
Álvaro Carreras,2024-07,0.0111
Álvaro Carreras,2024-08,0.0111
Álvaro Carreras,2024-09,0.0133
Álvaro Carreras,2024-10,0.0167
Álvaro Carreras,2024-11,0.0139
Álvaro Carreras,2024-12,0.0111
Álvaro Carreras,2025-01,0.0278
Álvaro Carreras,2025-02,0.0111
