player_name,position_group,club_2024_25,league_2024_25,nationality,Whoscored_Rating,log_attention,perf_z,group
Christian Pulisic,Forward,AC Milan,Serie A,USA,7.08,15.865760644922203,-0.5425346590822614,Fan Favourites
Cody Gakpo,Forward,Liverpool,Premier League,Netherlands,6.86,14.715102233479755,-1.1610361337140798,Squad Players
Ademola Lookman,Forward,Atalanta,Serie A,Nigeria,7.24,14.457993193800586,-0.09271540480457452,Underrated Performers
Benjamin Šeško,Forward,RB Leipzig,Bundesliga,Slovenia,6.92,14.647126236064494,-0.9923539133599484,Squad Players
Kai Havertz,Forward,Arsenal,Premier League,Germany,7.0,15.660141533880765,-0.7674442862211049,Fan Favourites
Jonathan David,Forward,Lille,Ligue 1,Canada,6.96,13.113304469115981,-0.8798990997905266,Squad Players
Chris Wood,Forward,Nottingham Forest,Premier League,New Zealand,6.96,12.066632401404584,-0.8798990997905266,Squad Players
Matheus Cunha,Forward,Wolves,Premier League,Brazil,7.32,15.63286532167368,0.13219422233426892,Underrated Performers
Omar Marmoush,Forward,Manchester City,Premier League,Egypt,7.13,15.524227672294321,-0.4019661421204849,Fan Favourites
Mateo Retegui,Forward,Atalanta,Serie A,Italy,7.17,12.825287992269285,-0.28951132855106315,Squad Players
